journal,seqid,paper_name,Treatment Variable,Outcome Variable,Instrument,is_falsification,exhibit_reference,"
falsification_type_nco
",test_type_po,falsification_type_nci,test_type_pi,"nc_count
",falsification_type_other,iv_control_in_pi_test
Review of Economic Studies,125,"Storeygard, 2016",intercity transport costs (Fuel costs),city income, oil price,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
Review of Economic Studies,126,"Attanasio, Meghir and Nix, 2020",parental investment,health and cognitive development ,prices and family resources,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
Review of Economic Studies,127,"Agarwal et al., 2022",share of loans eligible for Home Affordable Refinance Program (HARP),mortgage refinancing; consumer outcomes,share of house transactionsthat had a price below 1.25 times the conforming loan limit (potentially eligible for GSE financing),FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
Review of Economic Studies,128,"Berger et al., 2018",house price shocks,consumption responses,current income instrumented with  future income change,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
Review of Economic Studies,129,"Allen and Arkolakis, 2022",traffic congestion (transportation cost for each road link),impact on welfare,distance of road link,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
Review of Economic Studies,130,"Fowlie et al., 2021",Default bias in electricity program choice,opting in vs. opting out,randomized encouragement to the corresponding treatment,TRUE,Table 1,TRUE,FALSE,FALSE,FALSE,,FALSE,
Review of Economic Studies,131,"Bertrand et al., 2018",board quotas (on gender representation),labor market outcomes for women,share of women on board times a year dummy,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
Review of Economic Studies,132,"Fogli and Veldkamp, 2021",country's social network structures, country’s rate of technological progress,difference in communicable and non-communicable diseases ,FALSE,Supplementary Appendix C ? Cannot download folder,FALSE,FALSE,FALSE,FALSE,,FALSE,
Review of Economic Studies,133,"Gennaioli and Voth, 2015",military conflict,development of cohesive states,frequency of war in neighbouring states,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
Review of Economic Studies,134,"Meng, Qian and Yared, 2015",rural food retention,mortality during China's famine,production gap (diff between target vs. realized production),FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
Review of Economic Studies,135,"BenYishay and Mobarak, 2019",social learning (involving farmers as technology promoters),improve technology adoption,incentive treatment,TRUE,Appendix A3,TRUE,TRUE,FALSE,FALSE,,FALSE,
Review of Economic Studies,136,"Akcigit et al., 2020",firm's expansion into multiple industries,investment in basic vs. applied research,state participation in 1985–87,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
Review of Economic Studies,137,Cook 2020,"(i) experience
(ii) safety preferences
(iii) speed preferences",gender earnings gap among Uber drivers,(i) average hours in previous weeks,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
Review of Economic Studies,138,"Piyapromdee, 2020",labor supply shocks (due to Immigration),"wages, internal migration, and welfare",predicted inflow rate of immigrants,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,
Review of Economic Studies,139,"Blader, Gartenberg, and Prat, 2019",managerial practice,worker performance,assigned treatment (either one of two practices),TRUE,Table 1 Panel A; Table 2,TRUE,TRUE,FALSE,FALSE,13,FALSE,
Review of Economic Studies,140,"Sequeira, Nunn and Qian, 2019",The Great European Migration to the U.S. (1850–1920),economic outcome,county’s railway connectivity (in times of massive migration vs. in times of mild migration),TRUE, Online Appendix Table A24,TRUE,TRUE,TRUE,TRUE,2,FALSE,FALSE
